,run,wafer,site,value
0,1,1,site1,460.16
1,1,2,site1,439.83
2,1,3,site1,456.15
3,1,4,site1,456.6
4,1,5,site1,436.97
5,1,6,site1,449.53
6,2,1,site1,457.23
7,2,2,site1,470.83
8,2,3,site1,442.43
9,2,4,site1,449.3
10,2,5,site1,466.91
11,2,6,site1,448.57
12,3,1,site1,453.76
13,3,2,site1,423.63
14,3,3,site1,434.05
15,3,4,site1,434.45
16,3,5,site1,408.08
17,3,6,site1,424.74
18,4,1,site1,409.37
19,4,2,site1,455.26
20,4,3,site1,466.49
21,4,4,site1,438.96
22,4,5,site1,451.21
23,4,6,site1,460.66
24,5,1,site1,450.28
25,5,2,site1,469.51
26,5,3,site1,443.06
27,5,4,site1,447.87
28,5,5,site1,455.42
29,5,6,site1,446.11
30,6,1,site1,453.58
31,6,2,site1,428.21
32,6,3,site1,435.41
33,6,4,site1,432.68
34,6,5,site1,422.87
35,6,6,site1,427.71
36,7,1,site1,419.41
37,7,2,site1,451.4
38,7,3,site1,456.74
39,7,4,site1,436.1
40,7,5,site1,448.87
41,7,6,site1,439.9
42,8,1,site1,451.48
43,8,2,site1,467.23
44,8,3,site1,442.4
45,8,4,site1,448.61
46,8,5,site1,452.86
47,8,6,site1,446.99
48,9,1,site1,454.02
49,9,2,site1,424.12
50,9,3,site1,433.53
51,9,4,site1,407.96
52,9,5,site1,407.11
53,9,6,site1,432.33
54,10,1,site1,419.73
55,10,2,site1,451.56
56,10,3,site1,454.67
57,10,4,site1,435.07
58,10,5,site1,430.08
59,10,6,site1,453.37
60,11,1,site1,445.4
61,11,2,site1,464.43
62,11,3,site1,436.88
63,11,4,site1,442.76
64,11,5,site1,455.43
65,11,6,site1,439.98
66,12,1,site1,452.88
67,12,2,site1,425.98
68,12,3,site1,433.65
69,12,4,site1,432.24
70,12,5,site1,422.51
71,12,6,site1,430.22
72,13,1,site1,426.16
73,13,2,site1,443.61
74,13,3,site1,451.23
75,13,4,site1,427.08
76,13,5,site1,435.37
77,13,6,site1,442.67
78,14,1,site1,442.23
79,14,2,site1,454.61
80,14,3,site1,433.31
81,14,4,site1,438.31
82,14,5,site1,449.43
83,14,6,site1,434.26
84,15,1,site1,451.43
85,15,2,site1,428.33
86,15,3,site1,433.63
87,15,4,site1,428.85
88,15,5,site1,425.76
89,15,6,site1,431.86
90,16,1,site1,426.58
91,16,2,site1,451.78
92,16,3,site1,465.15
93,16,4,site1,434.58
94,16,5,site1,446.16
95,16,6,site1,451.58
96,17,1,site1,451.71
97,17,2,site1,466.78
98,17,3,site1,440.3
99,17,4,site1,447.27
100,17,5,site1,466.49
101,17,6,site1,443.92
102,18,1,site1,448.8
103,18,2,site1,424.97
104,18,3,site1,431.37
105,18,4,site1,422.48
106,18,5,site1,418.65
107,18,6,site1,431.78
108,19,1,site1,445.37
109,19,2,site1,464.4
110,19,3,site1,436.85
111,19,4,site1,442.73
112,19,5,site1,455.4
113,19,6,site1,439.95
114,20,1,site1,452.85
115,20,2,site1,425.95
116,20,3,site1,433.62
117,20,4,site1,432.21
118,20,5,site1,422.48
